Electrolyte,FC,OC,FO,InOr,F,sF,aF,O,sO,aO,C,sC,aC,CE,LCE
1 M LiClO4-PC + 5% FEC,0.014,0.842,0.017,0.876,0.004,0.004,0,0.249,0.225,0.024,0.296,0.296,0,80,0.699
1 M LiPF6 EC-DMC (1:1 v) 2% VC,0.145,1,0.145,1.17,0.038,0,0.038,0.263,0.263,0,0.263,0.263,0,80,0.699
1 M LiBF4 EC-DMC (1:1 v) 2% VC,0.143,0.985,0.145,1.152,0.038,0.012,0.026,0.259,0.259,0,0.263,0.263,0,80,0.699
1. M LiClO4 PC (C4H6O3),0,0.835,0,0.856,0,0,0,0.247,0.222,0.025,0.296,0.296,0,80,0.699
1. M LiPF6 Ethylene carbonate 50.% + DMC (C3H6O3) 50.%,0.149,1,0.149,1.174,0.039,0,0.039,0.261,0.261,0,0.261,0.261,0,80,0.699
1M LiTFPFB PC,0.24,0.725,0.331,0.985,0.07,0,0.07,0.212,0.206,0.006,0.293,0.275,0.018,80.6,0.712
1. M LiPF6 Ethylene carbonate 50.% + EMC (C4H8O3) 50.%,0.144,0.884,0.162,1.052,0.039,0,0.039,0.238,0.238,0,0.269,0.269,0,81.9,0.742
1 M LiPF6 EC-EMC (3:7 wt) 2% wt VC,0.146,0.823,0.177,0.993,0.038,0,0.038,0.216,0.216,0,0.263,0.263,0,82,0.745
1 M LiTFSI EC-DMC (1:1 v) 2% VC,0.139,1.046,0.133,1.254,0.036,0,0.036,0.275,0.25,0.024,0.263,0.25,0.012,82,0.745
1. M LiPF6 Ethylene carbonate 21.74% + EMC (C4H8O3) 78.26%,0.15,0.811,0.185,0.986,0.039,0,0.039,0.211,0.211,0,0.26,0.26,0,82,0.745
1. M LiTFSI Ethylene carbonate 50.% + DMC (C3H6O3) 50.%,0.142,1.047,0.135,1.26,0.037,0,0.037,0.273,0.248,0.025,0.261,0.248,0.012,82,0.745
"1. M LiTFSI 1,3-dioxolane (	C3H6O2) 50.% + DME (C4H10O2) 50.%",0.14,0.654,0.215,0.865,0.035,0,0.035,0.163,0.139,0.023,0.249,0.237,0.012,82.7,0.762
1M LiPF6 EC-DMC (3:7 v/v),0.156,1,0.156,1.182,0.039,0,0.039,0.252,0.252,0,0.252,0.252,0,83.3,0.777
1M LiPF6 EC-DEC (1:2 w/w),0.142,0.714,0.199,0.879,0.038,0,0.038,0.192,0.192,0,0.269,0.269,0,83.7,0.788
1. M LiAsF6 PC (C4H6O3),0.128,0.75,0.17,0.899,0.037,0,0.037,0.219,0.219,0,0.292,0.292,0,84.2,0.801
1. M LiPF6 Ethylene carbonate 31.5% + EMC (C4H8O3) 29.61% + DMC (C3H6O3) 38.89%,0.152,0.927,0.164,1.105,0.039,0,0.039,0.238,0.238,0,0.257,0.257,0,84.9,0.821
1.5 M LiAsF6-PC,0.191,0.75,0.255,0.973,0.055,0,0.055,0.214,0.214,0,0.285,0.285,0,85,0.824
1 M LiBETI EC-DMC (1:1 v) 2% VC,0.221,1,0.221,1.287,0.059,0,0.059,0.265,0.242,0.023,0.265,0.242,0.023,86,0.854
1 M LiPF6 EC-DMC (1:2 vol),0.155,1,0.155,1.181,0.039,0,0.039,0.253,0.253,0,0.253,0.253,0,86,0.854
1. M LiClO4 Ethylene carbonate 27.03% + Diethyl Carbonate 72.97%,0,0.81,0,0.833,0,0,0,0.221,0.195,0.026,0.273,0.273,0,86.1,0.857
1. M LiPF6 Ethylene carbonate 27.03% + Diethyl Carbonate 72.97%,0.142,0.715,0.199,0.881,0.038,0,0.038,0.193,0.193,0,0.269,0.269,0,86.3,0.863
1 M LiPF6 EC-DEC (3:7 wt),0.142,0.703,0.203,0.869,0.038,0,0.038,0.189,0.189,0,0.269,0.269,0,87,0.886
1. M LiFSI Ethylene carbonate 41.67% + Diethyl Carbonate 58.33%,0.047,0.869,0.054,0.985,0.013,0,0.013,0.234,0.209,0.025,0.269,0.269,0,87,0.886
1. M LiPF6 Ethylene carbonate 25.% + EMC (C4H8O3) 75.%,0.149,0.82,0.182,0.994,0.039,0,0.039,0.214,0.214,0,0.261,0.261,0,87.9,0.917
1. M LiFSI Fluoroethylene carbonate 50.% + DME (C4H10O2) 50.%,0.222,0.859,0.259,1.156,0.057,0.044,0.013,0.22,0.194,0.026,0.256,0.256,0,87.94,0.919
1 M LiPF6-EC/DEC (1:1 vol.),0.139,0.809,0.172,0.971,0.038,0,0.013,0.222,0.222,0.025,0.274,0.274,0,88,0.921
0.6M LiTFSI 0.4M LiBOB EC-EMC (5:5 wt),0.081,0.939,0.087,1.071,0.022,0,0.022,0.256,0.221,0.035,0.272,0.255,0.017,88.1,0.924
1. M LiPF6 Ethylene carbonate 25.% + EMC (C4H8O3) 75.%,0.149,0.82,0.182,0.994,0.039,0,0.039,0.214,0.214,0,0.261,0.261,0,88.1,0.924
1. M LiPF6 Ethylene carbonate 50.% + DMC (C3H6O3) 50.%,0.149,1,0.149,1.174,0.039,0,0.039,0.261,0.261,0,0.261,0.261,0,89,0.959
1. M LiAsF6 THF (C4H8O),0.122,0.25,0.487,0.392,0.036,0,0.036,0.073,0.073,0,0.293,0.293,0,89.4,0.975
1M LiPF6 EC-DEC (1:1 w/w),0.14,0.778,0.18,0.942,0.038,0,0.038,0.212,0.212,0,0.273,0.273,0,90.3,1.013
1. M LiPF6 Diethyl Carbonate,0.145,0.6,0.242,0.77,0.038,0,0.038,0.158,0.158,0,0.264,0.264,0,90.3,1.013
1 M LiPF6 EC-DMC (1:2 vol) 2% TTFEB,0.174,0.993,0.175,1.195,0.044,0.005,0.039,0.251,0.251,0,0.253,0.253,0,91,1.046
1. M LiPF6 Ethylene carbonate 33.33% + DMC (C3H6O3) 66.67%,0.155,1,0.155,1.181,0.039,0,0.039,0.253,0.253,0,0.253,0.253,0,91,1.046
1. M LiPF6 Ethylene carbonate 41.67% + Diethyl Carbonate 58.33%,0.14,0.775,0.181,0.939,0.038,0,0.038,0.211,0.211,0,0.272,0.272,0,91.1,1.051
0.6M LiTFSI 0.4M LiBOB EC-EMC (7:3 wt),0.079,0.985,0.08,1.113,0.022,0,0.022,0.274,0.24,0.034,0.279,0.261,0.017,91.6,1.076
0.6M LiTFSI 0.4M LiBOB EC-EMC (9:1 wt),0.077,1.033,0.074,1.157,0.022,0,0.022,0.295,0.261,0.034,0.286,0.269,0.017,91.7,1.081
4. M LiFSI + 2. M LiTFSI DME (C4H10O2),0.47,1.017,0.462,1.911,0.088,0,0.088,0.191,0.085,0.106,0.188,0.17,0.018,91.7,1.081
1 M LiPF6 FEC-DMC (1:1 v),0.335,1,0.335,1.361,0.087,0.046,0.041,0.26,0.26,0,0.26,0.26,0,91.78,1.085
0.3 M LiFSI 1-Ethyl-3-methyl-1H-imidazol-3-ium bis(fluorosulfonyl)azanide,0.352,0.705,0.5,1.92,0.074,0.07,0.004,0.148,0.14,0.008,0.21,0.21,0,92,1.097
1 M LiPF6 FEC-EC-DEC (2:9:9 vol),0.172,0.827,0.208,1.022,0.047,0.009,0.038,0.227,0.227,0,0.275,0.275,0,92.2,1.108
1 M LiTFSI EC-DMC (1:1 v) 5wt% FEC,0.151,1.045,0.144,1.263,0.04,0.004,0.035,0.274,0.251,0.024,0.262,0.251,0.012,92.2,1.108
3. M LiFSI DME (C4H10O2),0.156,0.811,0.192,1.201,0.033,0,0.033,0.17,0.105,0.065,0.209,0.209,0,92.2,1.108
3.57 M LiTFSI DME,0.469,0.735,0.639,1.438,0.101,0,0.101,0.159,0.091,0.068,0.216,0.182,0.034,92.8,1.143
1M LiFSI EC/DEC (v 1:1),0.046,0.901,0.051,1.017,0.013,0,0.013,0.244,0.219,0.025,0.271,0.271,0,93,1.155
"1. M LiClO4 1,3-dioxolane (	C3H6O2)",0,0.76,0,0.783,0,0,0,0.2,0.175,0.024,0.263,0.263,0,93,1.155
1. M LiPF6 Ethylene carbonate 50.% + Diethyl Carbonate 50.%,0.139,0.809,0.172,0.971,0.038,0,0.038,0.222,0.222,0,0.274,0.274,0,93,1.155
0.1M LiDFP 0.4M LiTFSI EC-DMC (3:7 v/v),0.066,1.025,0.065,1.125,0.017,0,0.017,0.265,0.253,0.012,0.259,0.253,0.005,93.6,1.194
4. M LiFSI + 2. M LiTFSI DME (C4H10O2),0.47,1.017,0.462,1.911,0.088,0,0.088,0.191,0.085,0.106,0.188,0.17,0.018,93.7,1.201
0.84 M LiTFSI 2.7M LiDFP DME,0.26,0.697,0.373,1.086,0.057,0,0.057,0.153,0.105,0.048,0.219,0.21,0.009,93.9,1.215
4. M LiFSI + 2. M LiTFSI DME (C4H10O2),0.47,1.017,0.462,1.911,0.088,0,0.088,0.191,0.085,0.106,0.188,0.17,0.018,93.9,1.215
1. M LiFSI Ethylene carbonate 30.% + Diethyl Carbonate 70.%,0.047,0.822,0.057,0.94,0.013,0,0.013,0.219,0.194,0.025,0.267,0.267,0,93.9,1.215
1 M LiFSI in tetraglyme,0.044,0.588,0.075,0.698,0.011,0,0.011,0.15,0.128,0.022,0.255,0.255,0,94,1.222
3. M LiFSI Tetraglyme,0.132,0.764,0.173,1.095,0.03,0,0.03,0.175,0.115,0.061,0.229,0.229,0,94,1.222
1 M LiPF6 FEC-DMC (1:1 v) 0.25wt% 12-Crown-4,0.334,0.998,0.334,1.358,0.087,0.046,0.04,0.259,0.259,0,0.26,0.26,0,94.05,1.225
0.11 M LiTFSI 3.9 M LiDFP DME,0.218,0.71,0.308,1.037,0.047,0,0.047,0.153,0.107,0.046,0.216,0.215,0.001,94.3,1.244
1. M LiFSI Diglyme,0.047,0.595,0.08,0.713,0.012,0,0.012,0.146,0.123,0.023,0.246,0.246,0,94.3,1.244
1 M LiPF6 FEC-EC-DEC (2:9:9 vol) 0.05 M RbNO3 0.05M 18-crown-6,0.169,0.826,0.205,1.021,0.047,0.009,0.038,0.227,0.226,0.001,0.275,0.275,0,94.4,1.252
0.1M LiDFP 0.4M LiFSI EC-DMC (3:7 v/v),0.026,1.047,0.025,1.107,0.007,0,0.007,0.269,0.257,0.012,0.257,0.257,0,94.5,1.26
"1.4 M LiAsF6 2-Methyltetrahydrofuran 75.% + 1,3-Dimethoxypropane 25.%",0.179,0.241,0.744,0.45,0.05,0,0.05,0.068,0.068,0,0.281,0.281,0,94.5,1.26
2M LiTFSI 2M LiDFOB DME,0.344,0.758,0.454,1.274,0.078,0,0.078,0.171,0.093,0.078,0.226,0.187,0.039,94.6,1.268
1 M LiPF6 FEC-DMC (1:1 v) 2wt% 12-Crown-4,0.326,0.987,0.331,1.339,0.085,0.045,0.04,0.257,0.257,0,0.26,0.26,0,94.7,1.276
"3.16 M LiFSI Methyl 2,2,2-trifluoroethyl carbonate",0.942,1.134,0.831,2.365,0.2,0.159,0.041,0.241,0.159,0.082,0.212,0.212,0,94.7,1.276
2.2 M LiTFSI 0.8 M LiDFP DME,0.345,0.691,0.499,1.208,0.076,0,0.076,0.153,0.099,0.054,0.221,0.198,0.023,94.9,1.292
"1. M LiFSI 1,4-dioxane(C4H8O2)",0.043,0.585,0.073,0.691,0.011,0,0.011,0.158,0.135,0.023,0.269,0.269,0,94.9,1.292
1 M LiPF6-EC/DEC (1:1 vol.) + 5 vol% FEC,0.148,0.817,0.181,0.987,0.041,0.004,0.037,0.225,0.225,0,0.275,0.275,0,95,1.301
0.02M Li2S5 0.15M LiNO3 1M LiTFSI DOL-DME (1:1 vol),0.14,0.664,0.211,0.881,0.035,0,0.035,0.164,0.139,0.026,0.247,0.236,0.012,95,1.301
1 M LiFSI in DEG-FTriEG,0.551,0.603,0.915,1.232,0.142,0.129,0.013,0.155,0.129,0.027,0.258,0.258,0,95,1.301
1 M LiDFOB EC-DEC (3:7 wt),0.045,0.761,0.059,0.829,0.013,0,0.013,0.212,0.186,0.025,0.278,0.265,0.013,95,1.301
1 M LiPF6 FEC-EMC-DMC (34.6:57.2:8.2 wt) ,0.251,0.845,0.298,1.122,0.065,0.025,0.04,0.219,0.219,0,0.259,0.259,0,95,1.301
1.2 M LIFOB Ethylene carbonate 30.% + EMC (C4H8O3) 70.%,0.056,0.898,0.062,0.982,0.015,0,0.015,0.244,0.213,0.03,0.271,0.256,0.015,95,1.301
1. M LIFOB Ethylene carbonate 25.% + Diethyl Carbonate 75.%,0.045,0.765,0.059,0.833,0.013,0,0.013,0.213,0.188,0.025,0.278,0.266,0.013,95,1.301
0.5 M LiAsF6 THF (C4H8O),0.061,0.25,0.244,0.321,0.018,0,0.018,0.075,0.075,0,0.3,0.3,0,95,1.301
1. M LiPF6 Ethylene carbonate 50.% + Diethyl Carbonate 50.%,0.139,0.809,0.172,0.971,0.038,0,0.038,0.222,0.222,0,0.274,0.274,0,95,1.301
1.2 M LiPF6 Ethylene carbonate,0.16,1,0.16,1.187,0.045,0,0.045,0.282,0.282,0,0.282,0.282,0,95,1.301
1. M LiFSI éter de oligoglicol fluorado,0.548,0.596,0.92,1.216,0.142,0.129,0.012,0.154,0.129,0.025,0.259,0.259,0,95,1.301
3. M LiFSI Ethylene carbonate 41.67% + Diethyl Carbonate 58.33%,0.14,1.055,0.133,1.406,0.033,0,0.033,0.252,0.185,0.067,0.239,0.239,0,95,1.301
1 M LiPF6 in EC/DEC + 0.15M LiDFP,0.147,0.785,0.187,0.959,0.04,0,0.04,0.213,0.211,0.002,0.271,0.271,0,95.2,1.319
1. M LiPF6 Ethylene carbonate 33.33% + DMC (C3H6O3) 66.67%,0.155,1,0.155,1.181,0.039,0,0.039,0.253,0.253,0,0.253,0.253,0,95.2,1.319
1 M LiPF6 FEC-DMC (1:1 v) 1.75wt% 12-Crown-4,0.328,0.989,0.331,1.342,0.085,0.045,0.04,0.257,0.257,0,0.26,0.26,0,95.35,1.333
LiFSI-1.4DME-3TFEB,1.229,0.669,1.835,2.153,0.27,0.251,0.019,0.147,0.11,0.037,0.22,0.22,0,95.4,1.337
4. M LiFSI + 2. M LiTFSI DME (C4H10O2),0.47,1.017,0.462,1.911,0.088,0,0.088,0.191,0.085,0.106,0.188,0.17,0.018,95.4,1.337
1 M LiPF6 FEC-DMC (1:1 v) 1.5wt% 12-Crown-4,0.329,0.991,0.332,1.345,0.085,0.046,0.04,0.258,0.258,0,0.26,0.26,0,95.58,1.355
3M LiTFSI DME,0.404,0.702,0.576,1.309,0.089,0,0.089,0.155,0.095,0.059,0.22,0.191,0.03,95.7,1.367
1. M LiPF6 Ethylene carbonate 50.% + DMC (C3H6O3) 50.%,0.149,1,0.149,1.174,0.039,0,0.039,0.261,0.261,0,0.261,0.261,0,95.7,1.367
1 M LiPF6 FEC-DMC (1:1 v) 0.5wt% 12-Crown-4,0.333,0.997,0.334,1.355,0.086,0.046,0.04,0.259,0.259,0,0.26,0.26,0,95.76,1.373
1 M LiFSI THF,0.041,0.331,0.123,0.433,0.012,0,0.012,0.096,0.072,0.024,0.29,0.29,0,95.8,1.377
3. M LiFSI Diglyme,0.142,0.784,0.181,1.139,0.031,0,0.031,0.173,0.11,0.063,0.22,0.22,0,95.8,1.377
"1. M LiTFSI DME (C4H10O2) 50.% + 1,3-dioxolane (	C3H6O2) 50.%",0.14,0.654,0.215,0.865,0.035,0,0.035,0.163,0.139,0.023,0.249,0.237,0.012,95.8,1.377
6 M LiPF6 EC-DEC (1:1 vol),0.835,0.809,1.033,1.783,0.183,0,0.183,0.177,0.177,0,0.219,0.219,0,96,1.398
1 M LiFSI FEC,0.382,1.097,0.348,1.552,0.107,0.093,0.014,0.307,0.28,0.027,0.28,0.28,0,96.11,1.41
1. M LiFSI Tetraglyme,0.044,0.588,0.075,0.698,0.011,0,0.011,0.15,0.128,0.022,0.255,0.255,0,96.3,1.432
0.5 M LiFSI+0.5 M LiPO2F2/DME,0.052,0.578,0.09,0.682,0.012,0,0.012,0.137,0.119,0.019,0.238,0.238,0,96.4,1.444
3. M LiFSI Triglyme,0.135,0.77,0.175,1.108,0.031,0,0.031,0.174,0.113,0.061,0.226,0.226,0,96.4,1.444
3.25M LiTFSI SL,0.402,0.701,0.574,1.521,0.093,0,0.093,0.162,0.1,0.062,0.231,0.2,0.031,96.5,1.456
5M LiTFSI 1-4 (EA-DCM vol),0.977,0.784,1.245,3.065,0.175,0,0.175,0.141,0.024,0.117,0.179,0.121,0.058,96.5,1.456
1. M LiPF6 Ethylene carbonate 50.% + EMC (C4H8O3) 50.%,0.144,0.884,0.162,1.052,0.039,0,0.039,0.238,0.238,0,0.269,0.269,0,96.7,1.481
1 M LiPF6 FEC-DMC (1:1 v) 1.25wt% 12-Crown-4,0.33,0.992,0.332,1.347,0.086,0.046,0.04,0.258,0.258,0,0.26,0.26,0,96.75,1.488
2 M LiFSI FEC,0.431,1.195,0.36,1.771,0.113,0.087,0.025,0.313,0.262,0.051,0.262,0.262,0,96.76,1.489
LiFSI-1.2DME-3BTFEC,1.01,0.778,1.299,1.939,0.24,0.216,0.024,0.185,0.137,0.048,0.238,0.238,0,96.8,1.495
1.5 M LiAsF6 2-Methyltetrahydrofuran,0.181,0.2,0.907,0.412,0.053,0,0.053,0.058,0.058,0,0.291,0.291,0,96.8,1.495
1 M LiPF6 FEC-DMC (1:1 v) 0.75wt% 12-Crown-4,0.332,0.995,0.333,1.353,0.086,0.046,0.04,0.259,0.259,0,0.26,0.26,0,96.82,1.498
1M LiPF6 FEC-DEC (1:1 w/w),0.279,0.76,0.367,1.064,0.076,0.036,0.039,0.206,0.206,0,0.271,0.271,0,97,1.523
0.1 M Li2S5 + 5% LiNO3 in 1 M LiTFSI in DOL/DME (1:1 vol),0.14,0.709,0.198,0.949,0.034,0,0.034,0.172,0.136,0.036,0.242,0.231,0.011,97,1.523
3 M LiFNSI in DOL/DME,0.603,0.723,0.835,1.507,0.137,0,0.137,0.164,0.109,0.055,0.227,0.186,0.041,97,1.523
0.5 M LiTFSI 0.5 M LiNO3 DOL-DME (1:1 v),0.072,0.658,0.109,0.777,0.018,0,0.018,0.165,0.144,0.021,0.251,0.245,0.006,97,1.523
1 M LiClO4 EC-ES (1:1 vol),0,0.674,0,0.913,0,0,0,0.19,0.161,0.029,0.281,0.281,0,97,1.523
1.5 M LiAsF6 Ethylene carbonate 42.86% + PC (C4H6O3) 57.14%,0.195,0.854,0.228,1.082,0.055,0,0.055,0.241,0.241,0,0.282,0.282,0,97,1.523
0.5 M LiFSI + 0.5 M LiTFSI Dimethoxydimethylsilane,0.115,0.601,0.192,1.045,0.023,0,0.023,0.12,0.097,0.023,0.2,0.195,0.006,97,1.523
1 M LiPF6 FEC-EC-DEC (2:9:9 vol) 0.1 M RbNO3 0.1M 18-crown-6,0.167,0.825,0.203,1.019,0.046,0.009,0.037,0.226,0.225,0.002,0.275,0.275,0,97.1,1.538
3 M LiFSI FEC,0.479,1.292,0.371,1.99,0.118,0.082,0.036,0.318,0.246,0.072,0.246,0.246,0,97.14,1.544
"3.4 M LiFSI Methyl 2,2,2-trifluoroethyl carbonate",0.957,1.163,0.822,2.43,0.2,0.157,0.043,0.243,0.157,0.086,0.209,0.209,0,97.2,1.553
1 M LiPF6 FEC-DMC (1:1 v) 0.1wt% 12-Crown-4,0.331,0.994,0.333,1.35,0.086,0.046,0.04,0.258,0.258,0,0.26,0.26,0,97.24,1.559
1M LiFSI DME,0.052,0.604,0.086,0.734,0.012,0,0.012,0.142,0.117,0.024,0.235,0.235,0,97.25,1.561
3.2M LiFSI TEP,0.181,1.029,0.176,1.649,0.035,0,0.035,0.196,0.127,0.069,0.191,0.191,0,97.3,1.569
1 M LiTFSI in DOL/DME with 5wt% TMS-FNFSI,0.163,0.652,0.25,0.892,0.04,0,0.04,0.162,0.137,0.025,0.248,0.232,0.016,97.3,1.569
LiFSI SL (1:3 molar),0.167,0.833,0.2,1.5,0.036,0,0.036,0.182,0.109,0.073,0.218,0.218,0,97.3,1.569
3. M LiFSI Tetraglyme,0.132,0.764,0.173,1.095,0.03,0,0.03,0.175,0.115,0.061,0.229,0.229,0,97.3,1.569
1. M LiAsF6 2-Methyltetrahydrofuran,0.121,0.2,0.604,0.341,0.036,0,0.036,0.06,0.06,0,0.298,0.298,0,97.4,1.585
1.5 M LiAsF6 2-Methyltetrahydrofuran,0.181,0.2,0.907,0.412,0.053,0,0.053,0.058,0.058,0,0.291,0.291,0,97.4,1.585
4 M LiFSI FEC,0.528,1.389,0.38,2.209,0.123,0.077,0.045,0.323,0.232,0.09,0.232,0.232,0,97.41,1.587
1M LiFSI FEC-DEC (1:2 by volume),0.159,0.83,0.192,1.062,0.042,0.03,0.013,0.221,0.195,0.026,0.266,0.266,0,97.43,1.59
1 M LiFSI/EC-ETFEC (3:7 vol),0.444,0.841,0.527,1.362,0.118,0.104,0.014,0.223,0.196,0.027,0.266,0.266,0,97.5,1.602
5 M LiFSI PC,0.213,1.175,0.181,1.707,0.049,0,0.049,0.272,0.174,0.099,0.232,0.232,0,97.5,1.602
"1 M LiFSI 1,4-Dioxolane",0.039,0.477,0.081,0.573,0.011,0,0.011,0.133,0.111,0.021,0.278,0.278,0,97.5,1.602
1.5 M LiAsF6 Dimethoxymethane,0.265,0.667,0.398,0.976,0.057,0,0.057,0.142,0.142,0,0.213,0.213,0,97.5,1.602
1. M LiPF6 Ethylene carbonate 25.% + EMC (C4H8O3) 75.%,0.149,0.82,0.182,0.994,0.039,0,0.039,0.214,0.214,0,0.261,0.261,0,97.5,1.602
"1. M LiFSI Ethylene carbonate 30.% + Ethyl 2,2,2-trifluoroethyl carbonate 70.%",0.444,0.84,0.529,1.361,0.118,0.104,0.014,0.223,0.196,0.027,0.266,0.266,0,97.5,1.602
4. M LiFSI Fluoroethylene carbonate 50.% + DME (C4H10O2) 50.%,0.373,1.16,0.322,1.834,0.08,0.037,0.043,0.249,0.163,0.086,0.215,0.215,0,97.57,1.614
1M LiPF6 FEC-TFEC (1:1 w/w),0.874,0.824,1.06,1.726,0.239,0.195,0.044,0.225,0.225,0,0.273,0.273,0,97.6,1.62
1 M LiPF6 MTFP-FEC (9:1 vol),0.871,0.558,1.561,1.457,0.235,0.189,0.046,0.151,0.151,0,0.27,0.27,0,97.6,1.62
1. M LiPF6 Fluoroethylene carbonate 41.67% + Diethyl Carbonate 58.33%,0.284,0.766,0.371,1.075,0.077,0.038,0.04,0.208,0.208,0,0.272,0.272,0,97.6,1.62
1. M LiPF6 MTFP (C4H5F3O2) 90.91% + Fluoroethylene carbonate 9.09%,0.875,0.553,1.583,1.456,0.236,0.19,0.046,0.149,0.149,0,0.27,0.27,0,97.6,1.62
5 M LiFSI FEC,0.576,1.486,0.388,2.427,0.127,0.073,0.053,0.327,0.22,0.107,0.22,0.22,0,97.65,1.629
6 M LiFSI FEC,0.625,1.584,0.395,2.646,0.13,0.07,0.061,0.33,0.209,0.122,0.209,0.209,0,97.67,1.633
1M LiFSI DMB,0.046,0.425,0.108,0.54,0.012,0,0.012,0.109,0.086,0.024,0.257,0.257,0,97.7,1.638
"1 M LiPF6 EC-DMC (1:1 v), 0.5 M LiNO3 TEGDME, 70%",0.063,0.678,0.093,0.758,0.016,0,0.016,0.171,0.162,0.009,0.252,0.248,0.004,97.7,1.638
"1. M LiFSI 1,4-Dimethoxybutane",0.049,0.432,0.114,0.555,0.013,0,0.013,0.11,0.085,0.025,0.256,0.256,0,97.7,1.638
1. M LiFSI DME (C4H10O2) 33.33% + TTE (C5H4F8O) 66.67%,1.068,0.425,2.511,1.579,0.265,0.25,0.014,0.105,0.077,0.028,0.248,0.248,0,97.7,1.638
1.1 M LiPF6 Fluoroethylene carbonate 14.29% + Ethyl acetate 85.71%,0.209,0.572,0.365,0.807,0.057,0.013,0.044,0.155,0.155,0,0.271,0.271,0,97.7,1.638
7 M LiFSI FEC,0.674,1.681,0.401,2.865,0.134,0.066,0.068,0.334,0.199,0.135,0.199,0.199,0,97.74,1.646
1M LiTFSI DME-DOL (1:1) 3% LiNO3,0.14,0.687,0.204,0.908,0.034,0,0.034,0.169,0.138,0.031,0.245,0.234,0.011,97.8,1.658
2.5 M LiAsF6 Diethyl ether (C4H10O1) 90.% + THF (C4H8O) 10.%,0.379,0.25,1.516,0.692,0.09,0,0.09,0.06,0.06,0,0.238,0.238,0,97.8,1.658
